Date,Time,Venue,Home Team,Away Team,Home Score,Away Score,CHANGED
"Sunday, December 7, 2025",12:30 PM PST,Snohomish High School,Snohomish,Shorewood,71,3,no
"Sunday, December 7, 2025",3:00 PM PST,Lake Stevens High School,Lake Stevens,Shorewood,54,9,no
"Sunday, December 14, 2025",10:30 AM PST,Marysville-Pilchuck High School,Getchell,Shorewood,39,18,no
"Sunday, December 14, 2025",8:15 AM PST,Port Susan MS,Stanwood,Shorewood,59,20,no
"Sunday, December 21, 2025",11:45 AM PST,Shorewood High School,Shorewood,Edmonds-Woodway,6,50,no
"Sunday, December 21, 2025",9:15 AM PST,Shorewood High School,Shorewood,Mountlake Terrace,16,25,no
"Sunday, January 4, 2026",11:30 AM PST,Shorewood High School,Shorewood,Meadowdale,15,30,no
"Sunday, January 4, 2026",9:00 AM PST,Shorewood High School,Shorewood,Arlington,7,53,no
"Sunday, January 25, 2026",1:00 PM PST,Jackson High School,Jackson,Shorewood,,,no
"Sunday, January 25, 2026",3:00 PM PST,Valley View Middle School,Glacier Peak,Shorewood,,,no
"Sunday, February 1, 2026",11:15 AM PST,Shorewood High School,Shorewood,Kamiak,,,no
"Sunday, February 1, 2026",1:45 PM PST,Shorewood High School,Shorewood,Meadowdale,,,no
"Sunday, February 22, 2026",11:15 AM PST,Shorewood High School,Shorewood,Arlington,,,no
"Sunday, February 22, 2026",1:45 PM PST,Shorewood High School,Shorewood,Everett,,,no
